pr_number,title,url,outcome,merged,commit_count,changed_files,additions,deletions,changed_lines,title_length,body_length,comments,review_comments,commit_message_total_length,commit_message_avg_length,commit_message_max_length,commit_message_keyword_count,commit_messages
16505,deps(java): bump org.apache.groovy:groovy-all from 5.0.7 to 5.0.8,https://github.com/apache/lucene/pull/16505,MERGED,1,1,1,1,1,2,65,1767,0,0,452,452.0,452,0,deps(java): bump org.apache.groovy:groovy-all from 5.0.7 to 5.0.8  Bumps [org.apache.groovy:groovy-all](https://github.com/apache/groovy) from 5.0.7 to 5.0.8. - [Commits](https://github.com/apache/groovy/commits)  --- updated-dependencies: - dependency-name: org.apache.groovy:groovy-all   dependency-version: 5.0.8   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
16504,deps(java): bump com.github.ben-manes.versions from 0.58.0 to 0.60.0,https://github.com/apache/lucene/pull/16504,CLOSED,0,1,1,1,1,2,68,1577,1,0,370,370.0,370,0,deps(java): bump com.github.ben-manes.versions from 0.58.0 to 0.60.0  Bumps com.github.ben-manes.versions from 0.58.0 to 0.60.0.  --- updated-dependencies: - dependency-name: com.github.ben-manes.versions   dependency-version: 0.60.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16503,deps(java): bump commons-codec:commons-codec from 1.22.0 to 1.22.1,https://github.com/apache/lucene/pull/16503,MERGED,1,2,4,4,4,8,66,6836,0,0,625,312.5,605,0,"deps(java): bump commons-codec:commons-codec from 1.22.0 to 1.22.1  Bumps [commons-codec:commons-codec](https://github.com/apache/commons-codec) from 1.22.0 to 1.22.1. - [Changelog](https://github.com/apache/commons-codec/blob/master/RELEASE-NOTES.txt) - [Commits](https://github.com/apache/commons-codec/compare/rel/commons-codec-1.22.0...rel/commons-codec-1.22.1)  --- updated-dependencies: - dependency-name: commons-codec:commons-codec   dependency-version: 1.22.1   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com> || Lockfile, checksums."
16502,deps(java): bump nl.littlerobots.version-catalog-update from 1.1.0 to 1.1.1,https://github.com/apache/lucene/pull/16502,MERGED,1,1,1,1,1,2,75,5973,0,0,726,726.0,726,0,deps(java): bump nl.littlerobots.version-catalog-update  Bumps [nl.littlerobots.version-catalog-update](https://github.com/littlerobots/version-catalog-update-plugin) from 1.1.0 to 1.1.1. - [Release notes](https://github.com/littlerobots/version-catalog-update-plugin/releases) - [Changelog](https://github.com/littlerobots/version-catalog-update-plugin/blob/main/CHANGELOG.md) - [Commits](https://github.com/littlerobots/version-catalog-update-plugin/compare/v1.1.0...v1.1.1)  --- updated-dependencies: - dependency-name: nl.littlerobots.version-catalog-update   dependency-version: 1.1.1   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
16501,deps(java): bump com.gradle.common-custom-user-data-gradle-plugin from 2.7.0 to 2.8.0,https://github.com/apache/lucene/pull/16501,MERGED,1,1,1,1,1,2,85,1611,0,0,402,402.0,402,0,deps(java): bump com.gradle.common-custom-user-data-gradle-plugin  Bumps com.gradle.common-custom-user-data-gradle-plugin from 2.7.0 to 2.8.0.  --- updated-dependencies: - dependency-name: com.gradle.common-custom-user-data-gradle-plugin   dependency-version: 2.8.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16499,Clean up BytesRefHash,https://github.com/apache/lucene/pull/16499,MERGED,1,4,2,9,22,31,21,424,2,4,423,105.75,367,4,"Clean up BytesRefHash  * Remove the lastCount field as it is not in use * Remove close(): it has no callers, also Map data structure typically does not provide such operation * Fix get() javadoc: valid ids are non-negative, not positive (0 is a valid id) * Fix the rehash() comment: the shrink threshold is 25% occupancy * Remove a stale TODO on DirectBytesStartArray || Update CHANGES.txt || Revise rehash javadoc comment. || Fix tidy"
16498,Remove JVMCI checks and update assertions for Java 25 ,https://github.com/apache/lucene/pull/16498,MERGED,1,1,2,1,11,12,54,633,2,0,62,62.0,62,0,Remove JVMCI checks and update assertions for Java 25 (#16317)
16497,Allow Java Panama vector API on GraalVM for JDK 25+ (#16317),https://github.com/apache/lucene/pull/16497,MERGED,1,2,2,3,1,4,60,730,14,1,81,40.5,63,0,Allow Java vector incubator API on GraalVM for JDK 25+ (#16317) || Add changes entry.
16496,Redesign ReaderUtil.partitionByLeaf to take int[] and track input ordinals for scatter/gather,https://github.com/apache/lucene/pull/16496,MERGED,1,8,4,360,97,457,93,3232,1,16,713,89.125,265,1,"Redesign ReaderUtil.partitionByLeaf to take int[] and add partitionByLeafWithOrdinals for scatter/gather || Update CHANGES.txt placeholder to actual pull request number || Preserve binary-search partitioning from #15938 in the redesigned partitionByLeaf  The redesign initially reverted the leaf-boundary binary search (GITHUB#15938) back to a linear scan. Restore binary-search partitioning in both the no-ordinals and ordinals helpers. || Merge branch 'main' into partitionbyleaf-upstream-main || update partition-by-leaf benchmark || add intro-sort version to jmh bench || Consolidate partitionByLeaf into a single ordinals-tracking API, trim redundant tests || Decode packed docIDs/ordinals directly into per-leaf arrays and trim comment"
16494,[Backport PR] Wrap dropped-FP scalar-quantized float values so scoring stays quantized,https://github.com/apache/lucene/pull/16494,MERGED,1,2,5,141,27,168,86,156,0,0,291,145.5,151,1,"Wrap dropped-FP scalar-quantized float values so scoring stays quantized (#16415)  (cherry picked from commit 7621eae9a22669ff1082eec4c14a6d40079f9256) || Adapt to branch_10_5: PerFieldKnnVectorsFormat.FieldsReader unwrap, disable write-based test for read-only lucene99 codec; add CHANGES entry"
16493,"Backport ""sandboxed de-duplicating HNSW vector format"" to 10.x",https://github.com/apache/lucene/pull/16493,MERGED,1,2,20,3174,7,3181,62,50,1,0,1046,523.0,891,0,"Add a sandboxed de-duplicating HNSW vector format (#15979)  Add a sandboxed de-duplicating HNSW vector format (`DedupHnswVectorsFormat`) that stores each distinct full-precision vector once, shared across all documents and fields that reference it.  This format enables building and searching of multiple HNSW graphs backed by the same vectors, without duplicating them on disk. For example: a subset of vectors identified by a filter can be indexed into a dedicated HNSW graph for performant filtered vector search.  Fields are grouped by `(dimension, encoding)` and all vectors within a group are de-duplicated during flush and merge. Each field maintains an off-heap mapping from `field ordinal -> ordinal in group` to reference to the shared vector, and vector operations like scoring and lookup are indirected to it.  (cherry picked from commit 4a3ed9791451f1c4c8ac4fc84226e485a891f954) || Adapt for Lucene 10.x  - Remove float16 functions - Workarounds for unsupported Java language features - Use equivalent 10.x patterns for missing functions"
16492,[Backport PR] Wrap dropped-FP scalar-quantized float values so scoring stays quantized,https://github.com/apache/lucene/pull/16492,MERGED,1,2,4,137,27,164,86,100,0,0,271,135.5,151,1,"Wrap dropped-FP scalar-quantized float values so scoring stays quantized (#16415)  (cherry picked from commit 7621eae9a22669ff1082eec4c14a6d40079f9256) || Adapt to branch_10x: PerFieldKnnVectorsFormat.FieldsReader unwrap, disable write-based test for read-only lucene99 codec"
16490,Check if merge is aborted during HNSW graph construction (#16368),https://github.com/apache/lucene/pull/16490,MERGED,1,1,9,258,6,264,65,287,0,0,74,74.0,74,0,Check if merge is aborted during HNSW graph construction (#16368) (#16391)
16488,deps(java): bump org.eclipse.jgit:org.eclipse.jgit from 7.7.0.202606012155-r to 7.7.1.202607240634-r,https://github.com/apache/lucene/pull/16488,MERGED,1,1,1,1,1,2,100,3628,0,0,546,546.0,546,0,deps(java): bump org.eclipse.jgit:org.eclipse.jgit  Bumps [org.eclipse.jgit:org.eclipse.jgit](https://github.com/eclipse-jgit/jgit) from 7.7.0.202606012155-r to 7.7.1.202607240634-r. - [Commits](https://github.com/eclipse-jgit/jgit/compare/v7.7.0.202606012155-r...v7.7.1.202607240634-r)  --- updated-dependencies: - dependency-name: org.eclipse.jgit:org.eclipse.jgit   dependency-version: 7.7.1.202607240634-r   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
16487,deps(java): bump com.diffplug.spotless from 8.8.0 to 8.9.0,https://github.com/apache/lucene/pull/16487,MERGED,1,1,1,1,1,2,58,1557,0,0,341,341.0,341,0,deps(java): bump com.diffplug.spotless from 8.8.0 to 8.9.0  Bumps com.diffplug.spotless from 8.8.0 to 8.9.0.  --- updated-dependencies: - dependency-name: com.diffplug.spotless   dependency-version: 8.9.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16486,deps(java): bump com.github.luben:zstd-jni from 1.5.7-11 to 1.5.7-12,https://github.com/apache/lucene/pull/16486,MERGED,1,1,1,1,1,2,68,2052,0,0,460,460.0,460,0,deps(java): bump com.github.luben:zstd-jni from 1.5.7-11 to 1.5.7-12  Bumps [com.github.luben:zstd-jni](https://github.com/luben/zstd-jni) from 1.5.7-11 to 1.5.7-12. - [Commits](https://github.com/luben/zstd-jni/commits)  --- updated-dependencies: - dependency-name: com.github.luben:zstd-jni   dependency-version: 1.5.7-12   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
16485,deps(java): bump com.github.ben-manes.versions from 0.54.0 to 0.58.0,https://github.com/apache/lucene/pull/16485,MERGED,1,1,1,1,1,2,68,1577,0,0,370,370.0,370,0,deps(java): bump com.github.ben-manes.versions from 0.54.0 to 0.58.0  Bumps com.github.ben-manes.versions from 0.54.0 to 0.58.0.  --- updated-dependencies: - dependency-name: com.github.ben-manes.versions   dependency-version: 0.58.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16484,LUCENE-6513: Add FrequentTermsSpanBooleanQueryRewrite,https://github.com/apache/lucene/pull/16484,MERGED,1,3,3,176,8,184,53,1190,0,2,1299,433.0,1221,2,"LUCENE-6513: Add FrequentTermsSpanBooleanQueryRewrite to SpanMultiTermQueryWrapper  Adds a SpanRewriteMethod that bounds SpanMultiTermQueryWrapper expansion by retaining only the most frequent terms, ranked by document frequency (DF_ORDER) or document frequency then total term frequency (DF_THEN_TTF_ORDER), or any caller-supplied Comparator<ScoreTerm>. This offers a more meaningful cap than TopTermsSpanBooleanQueryRewrite, whose boost-based ordering degenerates to lexicographical order for most multi-term queries.  It is built on ScoringRewrite rather than TopTermsRewrite because TopTermsRewrite caps terms while collecting them per segment, which requires a ranking key that is stable across segments (such as boost); document and total term frequencies are only per-segment during collection. ScoringRewrite instead collects every matching term first, aggregating TermStates across all segments, after which the maxSize most frequent terms are kept in a PriorityQueue using the aggregated statistics.  Implements equals/hashCode over maxSize and the ordering Comparator for parity with TopTermsSpanBooleanQueryRewrite. Adds TestSpanMultiTermQueryWrapper.testFrequentTermsRewrite covering the frequency-based cap. || Merge branch 'main' into LUCENE-6513-Issue7571-SpanFreqTermsRewrite || CHANGES.txt"
16481,[Backport 10x] Move finishMerge to a finally block so it always runs (#14977),https://github.com/apache/lucene/pull/16481,MERGED,1,3,7,264,36,300,77,538,2,10,566,188.66666666666666,421,3,"Backport #14977: invoke KnnVectorsReader#finishMerge() from SegmentMerger#cleanupMerge() (#16419) || Merge branch_10x to resolve CHANGES.txt conflict || Address review feedback on TestMergeReadAdviceRevert  - use MMapDirectory(createTempDir()) instead of ByteBuffersDirectory - use TestUtil#alwaysKnnVectorsFormat instead of a hand-rolled FilterCodec - use BaseKnnVectorsFormatTestCase#randomNormalizedVector for vector values - reference Lucene99FlatVectorsFormat#VECTOR_DATA_EXTENSION instead of .vec - drop the defensive copy in Recorder#snapshot, return the map directly"
16472,ci: bump actions/setup-java from 5.4.0 to 5.6.0 in /.github/actions/prepare-for-build,https://github.com/apache/lucene/pull/16472,MERGED,1,1,1,1,1,2,85,10513,0,0,592,592.0,592,0,ci: bump actions/setup-java in /.github/actions/prepare-for-build  Bumps [actions/setup-java](https://github.com/actions/setup-java) from 5.4.0 to 5.6.0. - [Release notes](https://github.com/actions/setup-java/releases) - [Commits](https://github.com/actions/setup-java/compare/1bcf9fb12cf4aa7d266a90ae39939e61372fe520...03ad4de0992f5dab5e18fcb136590ce7c4a0ac95)  --- updated-dependencies: - dependency-name: actions/setup-java   dependency-version: 5.6.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16471,ci: bump actions/setup-go from 6.5.0 to 7.0.0 in /.github/actions/eclint,https://github.com/apache/lucene/pull/16471,MERGED,1,1,1,1,1,2,72,3450,0,0,589,589.0,589,0,ci: bump actions/setup-go from 6.5.0 to 7.0.0 in /.github/actions/eclint  Bumps [actions/setup-go](https://github.com/actions/setup-go) from 6.5.0 to 7.0.0. - [Release notes](https://github.com/actions/setup-go/releases) - [Commits](https://github.com/actions/setup-go/compare/924ae3a1cded613372ab5595356fb5720e22ba16...b7ad1dad31e06c5925ef5d2fc7ad053ef454303e)  --- updated-dependencies: - dependency-name: actions/setup-go   dependency-version: 7.0.0   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>
16470,ci: bump astral-sh/setup-uv from 8.2.0 to 9.0.0,https://github.com/apache/lucene/pull/16470,MERGED,1,1,2,2,2,4,47,7311,0,0,574,574.0,574,0,ci: bump astral-sh/setup-uv from 8.2.0 to 9.0.0  Bumps [astral-sh/setup-uv](https://github.com/astral-sh/setup-uv) from 8.2.0 to 9.0.0. - [Release notes](https://github.com/astral-sh/setup-uv/releases) - [Commits](https://github.com/astral-sh/setup-uv/compare/fac544c07dec837d0ccb6301d7b5580bf5edae39...c771a70e6277c0a99b617c7a806ffedaca235ff9)  --- updated-dependencies: - dependency-name: astral-sh/setup-uv   dependency-version: 9.0.0   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>
16469,ci: bump github/codeql-action/upload-sarif from 4.36.2 to 4.37.3,https://github.com/apache/lucene/pull/16469,MERGED,1,1,1,1,1,2,64,13000,0,0,708,708.0,708,0,ci: bump github/codeql-action/upload-sarif from 4.36.2 to 4.37.3  Bumps [github/codeql-action/upload-sarif](https://github.com/github/codeql-action) from 4.36.2 to 4.37.3. - [Release notes](https://github.com/github/codeql-action/releases) - [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md) - [Commits](https://github.com/github/codeql-action/compare/8aad20d150bbac5944a9f9d289da16a4b0d87c1e...e4fba868fa4b1b91e1fdab776edc8cfbe6e9fb81)  --- updated-dependencies: - dependency-name: github/codeql-action/upload-sarif   dependency-version: 4.37.3   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16468,ci: bump actions/labeler from 6.1.0 to 7.0.0,https://github.com/apache/lucene/pull/16468,MERGED,1,1,1,1,1,2,44,4517,0,0,556,556.0,556,0,ci: bump actions/labeler from 6.1.0 to 7.0.0  Bumps [actions/labeler](https://github.com/actions/labeler) from 6.1.0 to 7.0.0. - [Release notes](https://github.com/actions/labeler/releases) - [Commits](https://github.com/actions/labeler/compare/f27b608878404679385c85cfa523b85ccb86e213...bf12e9b00b37c5c0ca2b87b79b2daf7891dbda13)  --- updated-dependencies: - dependency-name: actions/labeler   dependency-version: 7.0.0   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>
16467,ci: bump github/codeql-action/analyze from 4.36.2 to 4.37.3,https://github.com/apache/lucene/pull/16467,MERGED,1,1,1,1,1,2,59,11455,1,0,693,693.0,693,0,ci: bump github/codeql-action/analyze from 4.36.2 to 4.37.3  Bumps [github/codeql-action/analyze](https://github.com/github/codeql-action) from 4.36.2 to 4.37.3. - [Release notes](https://github.com/github/codeql-action/releases) - [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md) - [Commits](https://github.com/github/codeql-action/compare/8aad20d150bbac5944a9f9d289da16a4b0d87c1e...e4fba868fa4b1b91e1fdab776edc8cfbe6e9fb81)  --- updated-dependencies: - dependency-name: github/codeql-action/analyze   dependency-version: 4.37.3   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16466,ci: bump actions/checkout from 7.0.0 to 7.0.1,https://github.com/apache/lucene/pull/16466,MERGED,1,1,14,19,19,38,45,11078,0,0,636,636.0,636,0,ci: bump actions/checkout from 7.0.0 to 7.0.1  Bumps [actions/checkout](https://github.com/actions/checkout) from 7.0.0 to 7.0.1. - [Release notes](https://github.com/actions/checkout/releases) - [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md) - [Commits](https://github.com/actions/checkout/compare/9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0...3d3c42e5aac5ba805825da76410c181273ba90b1)  --- updated-dependencies: - dependency-name: actions/checkout   dependency-version: 7.0.1   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
16465,ci: bump actions/setup-java from 5.4.0 to 5.6.0,https://github.com/apache/lucene/pull/16465,MERGED,1,1,2,2,2,4,47,12026,0,0,574,574.0,574,0,ci: bump actions/setup-java from 5.4.0 to 5.6.0  Bumps [actions/setup-java](https://github.com/actions/setup-java) from 5.4.0 to 5.6.0. - [Release notes](https://github.com/actions/setup-java/releases) - [Commits](https://github.com/actions/setup-java/compare/1bcf9fb12cf4aa7d266a90ae39939e61372fe520...03ad4de0992f5dab5e18fcb136590ce7c4a0ac95)  --- updated-dependencies: - dependency-name: actions/setup-java   dependency-version: 5.6.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16464,ci: bump actions/setup-python from 6.3.0 to 7.0.0,https://github.com/apache/lucene/pull/16464,MERGED,1,1,1,1,1,2,49,6893,0,0,586,586.0,586,0,ci: bump actions/setup-python from 6.3.0 to 7.0.0  Bumps [actions/setup-python](https://github.com/actions/setup-python) from 6.3.0 to 7.0.0. - [Release notes](https://github.com/actions/setup-python/releases) - [Commits](https://github.com/actions/setup-python/compare/ece7cb06caefa5fff74198d8649806c4678c61a1...5fda3b95a4ea91299a34e894583c3862153e4b97)  --- updated-dependencies: - dependency-name: actions/setup-python   dependency-version: 7.0.0   dependency-type: direct:production   update-type: version-update:semver-major ...  Signed-off-by: dependabot[bot] <support@github.com>
16463,ci: bump github/codeql-action/init from 4.36.2 to 4.37.3,https://github.com/apache/lucene/pull/16463,MERGED,1,1,1,1,1,2,56,12968,0,0,684,684.0,684,0,ci: bump github/codeql-action/init from 4.36.2 to 4.37.3  Bumps [github/codeql-action/init](https://github.com/github/codeql-action) from 4.36.2 to 4.37.3. - [Release notes](https://github.com/github/codeql-action/releases) - [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md) - [Commits](https://github.com/github/codeql-action/compare/8aad20d150bbac5944a9f9d289da16a4b0d87c1e...e4fba868fa4b1b91e1fdab776edc8cfbe6e9fb81)  --- updated-dependencies: - dependency-name: github/codeql-action/init   dependency-version: 4.37.3   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16462,build(deps): bump ast-grep-cli from 0.44.0 to 0.45.0 in /dev-tools,https://github.com/apache/lucene/pull/16462,MERGED,1,3,3,13,12,25,66,21671,3,0,671,223.66666666666666,589,1,"build(deps): bump ast-grep-cli from 0.44.0 to 0.45.0 in /dev-tools  Bumps [ast-grep-cli](https://github.com/ast-grep/ast-grep) from 0.44.0 to 0.45.0. - [Release notes](https://github.com/ast-grep/ast-grep/releases) - [Changelog](https://github.com/ast-grep/ast-grep/blob/main/CHANGELOG.md) - [Commits](https://github.com/ast-grep/ast-grep/compare/0.44.0...0.45.0)  --- updated-dependencies: - dependency-name: ast-grep-cli   dependency-version: 0.45.0   dependency-type: direct:development   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com> || build: bump ast-grep to 0.45.1 || build: fix rule to look for ""no real content at all"""
16461,build(deps): bump prek from 0.4.5 to 0.4.11 in /dev-tools,https://github.com/apache/lucene/pull/16461,MERGED,1,1,2,20,20,40,57,9475,0,0,534,534.0,534,0,build(deps): bump prek from 0.4.5 to 0.4.11 in /dev-tools  Bumps [prek](https://github.com/j178/prek) from 0.4.5 to 0.4.11. - [Release notes](https://github.com/j178/prek/releases) - [Changelog](https://github.com/j178/prek/blob/master/CHANGELOG.md) - [Commits](https://github.com/j178/prek/compare/v0.4.5...v0.4.11)  --- updated-dependencies: - dependency-name: prek   dependency-version: 0.4.11   dependency-type: direct:development   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
16460,build(deps): bump types-pyyaml from 6.0.12.20260518 to 6.0.12.20260724 in /dev-tools,https://github.com/apache/lucene/pull/16460,MERGED,1,1,1,1,1,2,84,260,1,0,433,433.0,433,0,build(deps): bump types-pyyaml in /dev-tools  Bumps [types-pyyaml](https://github.com/python/typeshed) from 6.0.12.20260518 to 6.0.12.20260724. - [Commits](https://github.com/python/typeshed/commits)  --- updated-dependencies: - dependency-name: types-pyyaml   dependency-version: 6.0.12.20260724   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
16459,build(deps): bump ty from 0.0.53 to 0.0.63 in /dev-tools,https://github.com/apache/lucene/pull/16459,MERGED,1,2,2,3,3,6,56,9572,0,0,560,280.0,538,1,build(deps): bump ty from 0.0.53 to 0.0.63 in /dev-tools  Bumps [ty](https://github.com/astral-sh/ty) from 0.0.53 to 0.0.63. - [Release notes](https://github.com/astral-sh/ty/releases) - [Changelog](https://github.com/astral-sh/ty/blob/main/CHANGELOG.md) - [Commits](https://github.com/astral-sh/ty/compare/0.0.53...0.0.63)  --- updated-dependencies: - dependency-name: ty   dependency-version: 0.0.63   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com> || build: fix type issues
16458,build(deps): bump rumdl from 0.2.22 to 0.2.43 in /dev-tools,https://github.com/apache/lucene/pull/16458,MERGED,1,1,2,11,11,22,59,11645,1,0,546,546.0,546,0,build(deps): bump rumdl from 0.2.22 to 0.2.43 in /dev-tools  Bumps [rumdl](https://github.com/rvben/rumdl) from 0.2.22 to 0.2.43. - [Release notes](https://github.com/rvben/rumdl/releases) - [Changelog](https://github.com/rvben/rumdl/blob/main/CHANGELOG.md) - [Commits](https://github.com/rvben/rumdl/compare/v0.2.22...v0.2.43)  --- updated-dependencies: - dependency-name: rumdl   dependency-version: 0.2.43   dependency-type: direct:development   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
